Date,Category,Amount,Note
01-08-2026,Food,150.0,Lunch
02-08-2026,Travel,50.0,Bus fare
03-08-2026,Recharge,199.0,Mobile recharge
04-08-2026,Shopping,500.0,Clothes
05-08-2026,Food,120.0,Dinner
06-08-2026,Travel,80.0,Auto
07-08-2026,Entertainment,250.0,Movie
08-08-2026,Food,100.0,Snacks
09-08-2026,Shopping,750.0,Shoes
10-08-2026,Food,180.0,Groceries
11-08-2026,Travel,60.0,Bus fare
12-08-2026,Recharge,199.0,Mobile recharge
13-08-2026,Food,90.0,Breakfast
14-08-2026,Entertainment,300.0,Outing
15-08-2026,Shopping,400.0,Books
16-08-2026,Food,140.0,Lunch
17-08-2026,Travel,100.0,Cab
18-08-2026,Food,110.0,Dinner
19-08-2026,Recharge,150.0,Data pack
20-08-2026,Shopping,600.0,Accessories
21-08-2026,Food,130.0,Groceries
22-08-2026,Travel,70.0,Auto
23-08-2026,Entertainment,200.0,Movie
24-08-2026,Food,160.0,Lunch
25-08-2026,Shopping,350.0,Gift
26-08-2026,Food,95.0,Breakfast
27-08-2026,Travel,90.0,Bus fare
28-08-2026,Recharge,199.0,Mobile recharge
29-08-2026,Food,175.0,Dinner
30-08-2026,Entertainment,220.0,Outing
02-09-2026,Food,220.0,dinner
